clade_who,lineage_display.final,ASSEMBLY_PIPELINE,week,n,Frequency
Omicron,BA.5,SpikeID,2022-11-27,1,0.012987012987012988
Omicron,BA.5,SpikeID,2022-10-09,1,0.022222222222222223
Omicron,BA.5,SpikeID,2022-07-03,1,0.02857142857142857
Omicron,BA.5,SpikeID,2022-12-04,1,0.018867924528301886
Omicron,BA.5.1,SpikeID,2022-10-09,1,0.022222222222222223
Omicron,BA.5.2,SpikeID,2023-01-29,1,0.01282051282051282
Omicron,BA.5.2,SpikeID,2022-12-04,5,0.09433962264150944
Omicron,BA.5.2,SpikeID,2022-10-16,1,0.1111111111111111
Omicron,BA.5.2,SpikeID,2023-03-12,1,0.043478260869565216
Omicron,BA.5.2,SpikeID,2022-11-20,3,0.04285714285714286
Omicron,BA.5.2,SpikeID,2022-08-28,1,1
Omicron,BA.5.2,SpikeID,2022-11-06,15,0.14423076923076922
Omicron,BA.5.2,SpikeID,2023-02-05,1,0.02127659574468085
Omicron,BA.5.2,SpikeID,2023-04-30,1,0.023809523809523808
Omicron,BA.5.2,SpikeID,2022-11-27,1,0.012987012987012988
Omicron,BA.5.2,SpikeID,2022-12-25,2,0.03333333333333333
Omicron,BA.5.2,SpikeID,2022-10-02,5,0.38461538461538464
Omicron,BA.5.2,SpikeID,2022-10-09,15,0.3333333333333333
Omicron,BA.5.2,SpikeID,2022-10-30,23,0.14838709677419354
Omicron,BA.5.2,SpikeID,2022-07-03,22,0.6285714285714286
Omicron,BA.5.2,SpikeID,2022-06-05,1,0.1111111111111111
Omicron,BA.5.2,SpikeID,2022-11-13,7,0.0945945945945946
Omicron,BA.5.2,SpikeID,2022-08-21,1,1
Omicron,BA.5.2,SpikeID,2022-05-29,1,0.16666666666666666
Omicron,BA.5.2.1,SpikeID,2022-12-11,1,1
Omicron,BA.5.2.1,SpikeID,2022-11-06,9,0.08653846153846154
Omicron,BA.5.2.1,SpikeID,2022-10-09,4,0.08888888888888889
Omicron,BA.5.2.1,SpikeID,2022-07-03,1,0.02857142857142857
Omicron,BA.5.2.1,SpikeID,2022-11-27,2,0.025974025974025976
Omicron,BA.5.2.1,SpikeID,2022-10-16,2,0.2222222222222222
Omicron,BA.5.2.1,SpikeID,2023-04-23,1,0.05263157894736842
Omicron,BA.5.2.1,SpikeID,2022-12-04,1,0.018867924528301886
Omicron,BA.5.2.1,SpikeID,2022-10-02,2,0.15384615384615385
Omicron,BA.5.2.1,SpikeID,2023-04-16,1,0.0625
Omicron,BA.5.2.1,SpikeID,2022-11-20,3,0.04285714285714286
Omicron,BA.5.2.1,SpikeID,2022-11-13,5,0.06756756756756757
Omicron,BA.5.2.1,SpikeID,2022-10-30,10,0.06451612903225806
Omicron,BA.5.3.1,SpikeID,2022-11-20,6,0.08571428571428572
Omicron,BA.5.3.1,SpikeID,2022-10-09,1,0.022222222222222223
Omicron,BA.5.3.1,SpikeID,2022-11-06,3,0.028846153846153848
